,venue,address,latitude,longitude,neighborhood,category
1160,Antojitos Guatemala,,30.258608148654424,-97.67063050003433,ROGERS HILL,Food Truck
1161,CAFÉ DEL SOL @ Southwest Key Programs,6002 Jain Ln,30.2612247467041,-97.68252563476562,JOHNSTON TERRACE,Mexican Restaurant
1162,Jalapeño's Taco Bar,,30.256551566089446,-97.70227588176746,GOVALLE,Mexican Restaurant
1163,Wholly Cow Food Truck,,30.262900277078852,-97.69670302353312,GOVALLE,Food Truck
1164,Mi Casita Restaurant,767-861 Texas 111 Loop,30.256235003471375,-97.69272,JOHNSTON TERRACE,Mexican Restaurant
1165,Taqueria La Playa #2,3518 E 7th St,30.256935119628906,-97.7022476196289,GOVALLE,Mexican Restaurant
1166,County Line on the Lake,5204 Ranch Road 2222,30.357138890101666,-97.78568464266807,BULL CREEK,BBQ Joint
1167,Biderman's Deli,3742 Far West Blvd #101,30.35582846047608,-97.7578981911403,NORTHWEST HILLS,Deli / Bodega
1168,Wholy Bagel,,30.354612,-97.756656,NORTHWEST HILLS,Bagel Shop
1169,Saffron Indian & Nepalese Cuisine,3616 Far West Blvd,30.35480045254807,-97.75600933233163,NORTHWEST HILLS,Indian Restaurant
1170,Super Donuts,3742 Far West Blvd Ste 112,30.35623249968611,-97.75846678933021,NORTHWEST HILLS,Donut Shop
1171,Fratelli Pizza Liberty Hill,1201 Loop 332 Ste 500,30.344139297008034,-97.78310537338257,BULL CREEK,Pizza Place
1172,Bert's Bar-B-Q,3563 Far West Blvd,30.352758688160176,-97.75393496357577,NORTHWEST HILLS,BBQ Joint
1173,Pizza Hut,3435 Greystone Dr Ste 101,30.35708,-97.748643,NORTHWEST HILLS,Pizza Place
1174,Kneaded Pleasures,3573 Far West Blvd,30.353495802090418,-97.7546235243615,NORTHWEST HILLS,Bakery
1175,Gatti's Pizza,5912 Balcones Dr,30.34177451415884,-97.75460099295938,NORTHWEST HILLS,Pizza Place
1176,Street,3407 Greystone Dr,30.356532019108087,-97.7473153163494,NORTHWEST HILLS,Asian Restaurant
1177,Snap Kitchen,3423 Guadalupe St Ste 200,30.35324484462997,-97.75419053839869,NORTHWEST HILLS,American Restaurant
1178,Abundance,6004 Mountainclimb Dr,30.345838,-97.764599,NORTHWEST HILLS,Food
1179,Austin's Pizza,3637 Far West Blvd,30.35457206857563,-97.75634985289796,NORTHWEST HILLS,Pizza Place
1180,Mr. Gatti's Pizza,3720 Far West Blvd,30.35530499251341,-97.75692971646146,NORTHWEST HILLS,Pizza Place
1181,Wild Taco 2,3800 Dry Creek Dr,30.342765999999997,-97.763649,NORTHWEST HILLS,Food Truck
1182,Hao Q Asian Kitchen,3742 Far West Blvd,30.356054008493054,-97.75851906955103,NORTHWEST HILLS,Asian Restaurant
1183,The Kosher Store @ HEB,7025 Village Center Dr,30.35218651059954,-97.75500306614208,NORTHWEST HILLS,Deli / Bodega
1184,Cielo Bistro Mexico,,30.352274,-97.754093,NORTHWEST HILLS,Mexican Restaurant
1185,7700 Parmer Bistro,7700 W Parmer Ln,30.45848675844717,-97.75147511793767,POND SPRINGS,Cafeteria
1186,Fooda,,30.459675,-97.751656,POND SPRINGS,Food Court
1187,Valentina's Tex Mex BBQ,11500 Manchaca Rd,30.152994599178257,-97.83367288755011,SOUTH BRODIE,BBQ Joint
1188,The Hive,10542 Menchaca Rd,30.16538787651088,-97.82945930957794,SOUTH BRODIE,Café
1189,Southside Flying Pizza Arcade and Grill,11600 Manchaca Rd Ste A,30.1519297,-97.83387580000002,SOUTH BRODIE,Pizza Place
1190,Cafe 1626,11600 Manchaca Rd,30.151968873716545,-97.83350566208249,SOUTH BRODIE,Pizza Place
1191,Tony's South Austin Pizza,2203 Farm to Market 1626,30.152365127956546,-97.83319132749615,SOUTH BRODIE,Pizza Place
1192,Shagun Sushi Bar,10013 Manchaca Rd,30.156584250200083,-97.81495889271031,SLAUGHTER CREEK,Sushi Restaurant
1193,"Casita Nicole (""Los Machetitos"")",12030 N Lamar Blvd,30.154671011833113,-97.82983977711322,SLAUGHTER CREEK,Food Truck
