,venue,address,latitude,longitude
89,Starbucks,"10900 Research Blvd, Austin, TX 78759, USA",30.401681,-97.7474544
90,The park at Domain,"11601 Domain Dr, Austin, TX 78758, USA",30.402766,-97.72374579999999
91,Starbucks,"3120 Palm Way  Austin, TX 78758, USA",30.4029773,-97.72137649999999
92,Starbucks,"1606 E Parmer Ln Suite 100, Austin, TX 78753, USA",30.3885819,-97.6501486
93,Starbucks,"9600 Escarpment Blvd bldg f 700, Austin, TX 78749, USA",30.2034434,-97.8787929
94,Starbucks,"1700 W Parmer Ln, Austin, TX 78727, USA",30.413383,-97.6895545
95,Red Robin,"13000 N IH35 SBFR  Austin, TX 78753, USA",30.4107589,-97.67542259999999
96,Starbucks,"2505 W Parmer Ln, Austin, TX 78727, USA",30.418834,-97.7027547
97,Starbucks,"11220 FM 2222, Austin, TX 78730, USA",30.4024887,-97.8503265
98,Starbucks,"12608 Lexington St, Manor, TX 78653, USA",30.3496788,-97.55644009999999
99,Starbucks,"7710 N FM 620 Unit 610, Austin, TX 78726, USA",30.4093326,-97.85215900000001
100,Dog Haus,"7710 N FM 620 Building 7, Suite 750, Austin, TX 78726, USA",30.4093326,-97.85215900000001
101,Starbucks,"6301 W Parmer Ln  Austin, TX 78729, USA",30.445215,-97.74391949999999
102,Starbucks,"12400 State Hwy 71 West 710, Austin, TX 78738, USA",30.304773,-97.934122
103,Starbucks,"5145 N FM 620, Austin, TX 75783, USA",30.3891676,-97.8838207
104,Burger King,"1420 Wells Branch Pkwy, Pflugerville, TX 78660, USA",30.4412782,-97.6633098
105,Burger King,"13450 Highway 183 North, Austin, TX 78750, USA",30.45442809999999,-97.7915855
106,Starbucks,"9617 Anderson Mill Rd  Austin, TX 78750, USA",30.44812569999999,-97.7913296
107,Starbucks,"2604 W Pecan St B, Pflugerville, TX 78660, USA",30.44901,-97.655498
108,Starbucks,"15295 I-35, Buda, TX 78610, USA",30.0903843,-97.81550849999999
109,Starbucks,"11521 N FM 620 N 950, Austin, TX 78726, USA",30.453184,-97.827004
110,Burger King,"15705 S IH 35 Frontage Rd, Buda, TX 78610, USA",30.0800454,-97.82232719999999
111,Plucker's Wing Bar,"11066 Pecan Park Blvd Unit G, Cedar Park, TX 78613, USA",30.4684692,-97.8035405
112,Starbucks,"11200 Lakeline Mall Dr, Cedar Park, TX 78613, USA",30.4709093,-97.8063212
113,The Grove Wine Bar & Kitchen,"3001 Ranch Rd 620 S, Austin, TX 78738, USA",30.3339417,-97.9677579
114,Starbucks,"10900 Lakeline Mall Blvd, Austin, TX 78717, USA",30.4755413,-97.7963563
115,Starbucks,"2301 Ranch Rd 620 S, Lakeway, TX 78734, USA",30.34139889999999,-97.9670587
116,Hurricane Grill & Wings,"2701 Parker Dr Suite D 100, Round Rock, TX 78681, USA",30.4818941,-97.6795685
117,Starbucks,"2410 Ranch Rd 620 S  Lakeway, TX 78738, USA",30.3399817,-97.9699717
118,Starbucks,"14028 N, US-183  Austin, TX 78717, USA",30.4760825,-97.8036994
119,Starbucks,"1709 E Pflugerville Pkwy, Pflugerville, TX 78660, USA",30.4559671,-97.6034375
120,85°C Bakery Cafe,"11301 South Lakeline Blvd  Austin, TX 78717, USA",30.47798,-97.80038640000001
121,Burger King,"2500 S IH 35 Frontage Rd, Round Rock, TX 78681, USA",30.4865319,-97.67713049999999
122,Starbucks,"737 Louis Henna Blvd, Round Rock, TX 78664, USA",30.4826676,-97.65654880000001
123,Starbucks,"18700 Limestone Commercial Dr, Pflugerville, TX 78660, USA",30.4673232,-97.5987853
124,Starbucks,"16650 N. RR 620 Road, Round Rock, TX 78681, USA",30.4985241,-97.7229258
125,Starbucks,"1400 Cypress Creek Road, Cedar Park, TX 78613, USA",30.48289059999999,-97.8295716
126,Starbucks,"1525 Cypress Creek Road Suite A, Cedar Park, TX 78613, USA",30.481731,-97.8341713
127,Plucker's Wing Bar,"300 Mays Crossing Dr Ste 300, Round Rock, TX 78664, USA",30.4992583,-97.6792933
128,Starbucks,"1850 S A.W. Grimes Blvd  Round Rock, TX 78664, USA",30.4940533,-97.6563698
129,Starbucks,"2051 Gattis School Rd, Round Rock, TX 78664, USA",30.4951063,-97.65471559999999
130,Burger King,"13542 US-290, Austin, TX 78737, USA",30.1971913,-98.00037619999999
131,Starbucks,"110 N Interstate Hwy 35, Round Rock, TX 78681, USA",30.5081518,-97.6865693
132,Starbucks,"1010 I-35, Round Rock, TX 78681, USA",30.5165079,-97.6893523
133,Burger King,"18600 S IH 35 Frontage Rd, Buda, TX 78610, USA",30.0370021,-97.84539339999999
134,Burger King,"713 N Bell Blvd, Cedar Park, TX 78613, USA",30.5177429,-97.8287005
135,The Grove Wine Bar & Kitchen,"1310 E Whitestone Blvd  Cedar Park, TX 78613, USA",30.524256,-97.814404
136,Starbucks,"1109 N Bell Blvd, Cedar Park, TX 78613, USA",30.522096,-97.8313774
137,Starbucks,"1335 E Whitestone Blvd, Cedar Park, TX 78613, USA",30.5270437,-97.8144301
138,Starbucks,"2800 E Whitestone Blvd Suite  Cedar Park, TX 78613, USA",30.5338021,-97.7837601
139,Starbucks,"1101 C-bar Ranch Trail Lot  Cedar Park, TX 78613, USA",30.5285267,-97.8129747
140,Red Robin,"5011 183A, Park, TX 78613, USA",30.5329599,-97.8181383
141,Starbucks,"5111 183A, Cedar Park, TX 78613, USA",30.5343521,-97.8178238
142,Starbucks,"5401 South, Farm to Market 1626, Kyle, TX 78640, USA",30.0158656,-97.8620114
143,Starbucks,"5188 Kyle Center Dr, Kyle, TX 78640, USA",30.0110058,-97.8641675
144,Route 12 Filling Station,"31560 Ranch Rd 12  Dripping Springs, TX 78620, USA",30.2499857,-98.057014
145,Starbucks,"4450 E Palm Valley Blvd Bldg B, Ste100, Round Rock, TX 78665, USA",30.532102,-97.61606019999999
146,Starbucks,"7708 Lohman Ford Rd A-101, Lago Vista, TX 78645, USA",30.4756111,-97.9760601
147,Starbucks,"455 University Blvd  Round Rock, TX 78665, USA",30.5609885,-97.6808829
148,Burger King,"4410 Sunrise Rd B, Round Rock, TX 78665, USA",30.56202669999999,-97.681214
149,Starbucks,"3441 Lakeline Blvd, Leander, TX 78641, USA",30.5429991,-97.86507979999999
150,Starbucks,"1820 Crystal Falls Pkwy  Leander, TX 78641, USA",30.54469659999999,-97.8649114
151,Starbucks,"4401 N Interstate 35 Frontage Rd  Round Rock, TX 78664, USA",30.5646954,-97.6899998
152,Starbucks,"1805 S, US-183  Leander, TX 78641, USA",30.5566298,-97.84405199999999
153,Starbucks,"718 U.S. 79 W, Hutto, TX 78634, USA",30.540587,-97.56499699999999
154,Wayback Burgers,"1900 University Blvd Suite 100, Round Rock, TX 78665, USA",30.5722658,-97.6533275
155,Starbucks,"108 East US, W Hwy 290, Dripping Springs, TX 78620, USA",30.191202,-98.085903
156,Burger King,"651 N US Hwy 183, Leander, TX 78641, USA",30.5833317,-97.85547439999999
157,Starbucks,"1021 W University Ave B3, Georgetown, TX 78628, USA",30.6307469,-97.69873609999999
158,Starbucks,"1003 W University Ave  Georgetown, TX 78626, USA",30.6323902,-97.6930546
159,Burger King,"100 River Oaks Cove, Georgetown, TX 78626, USA",30.6392323,-97.6878159
160,Starbucks,"501 B Hwy 71 West, Bastrop, TX 78602, USA",30.10824719999999,-97.3349046
161,Starbucks,"900 N Austin Ave  Georgetown, TX 78626, USA",30.6494425,-97.67721580000001
162,Burger King,"300 State Hwy 71, Bastrop, TX 78602, USA",30.1046617,-97.3296733
163,Starbucks,"4410 Williams Drive TBD, Georgetown, TX 78628, USA",30.681529,-97.715705
164,Starbucks,"601 University Dr, San Marcos, TX 78666, USA",29.8888838,-97.9430682
165,CRAFThouse Kitchen & Tap,"242 N LBJ Dr ste 101, San Marcos, TX 78666, USA",29.8841838,-97.9399971
166,Sean Patrick's Irish Pub Texas Grub,"202 E San Antonio St, San Marcos, TX 78666, USA",29.8819552,-97.9395162
167,Burger King,"3509 N Main St, Taylor, TX 76574, USA",30.59824309999999,-97.4159351
168,Plucker's Wing Bar,"105 Purple Heart Trail, I-35, San Marcos, TX 78666, USA",29.8613094,-97.94833059999999
169,Starbucks,"5721 Williams Dr, Georgetown, TX 78633, USA",30.7033501,-97.7497339
170,Burger King,"1012 TX-123, San Marcos, TX 78666, USA",29.866867,-97.9391545
171,Starbucks,"1285 I-35, San Marcos, TX 78666, USA",29.8670668,-97.9404779
172,Starbucks,"700 Barnes Dr, San Marcos, TX 78666, USA",29.8465724,-97.97103349999999
173,Starbucks,"3939 Interstate 35 Frontage Rd  925, San Marcos, TX 78666, USA",29.8288469,-97.9808455
174,Starbucks,"690 Centerpoint Rd  San Marcos, TX 78666, USA",29.8280588,-97.98765279999999
175,Starbucks,"301 Gateway N, Marble Falls, TX 78654, USA",30.5634472,-98.27428019999999
176,Burger King,"11710 N I-35, Jarrell, TX 76537, USA",30.8116317,-97.61182409999999
177,Burger King,"904 US-281, Marble Falls, TX 78654, USA",30.5776032,-98.2733942
178,Starbucks,"135 Creekside Way, New Braunfels, TX 78130, USA",29.7314651,-98.07328849999999
179,Burger King,"101 FM306, New Braunfels, TX 78130, USA",29.729676,-98.07967389999999
180,Muck & Fuss,"295 E San Antonio St, New Braunfels, TX 78130, USA",29.7045946,-98.1234662
181,Burger King,"236 IH 35 S, New Braunfels, TX 78130, USA",29.6900196,-98.11553909999999
182,The Longhorn Cafe,"1667 TX-46, New Braunfels, TX 78132, USA",29.7150183,-98.1603592
183,Starbucks,"697 S Walnut Ave, New Braunfels, TX 78130, USA",29.6866938,-98.1258555
184,Starbucks,"2702 Jay Rd, Seguin, TX 78155, USA",29.6002587,-97.94962849999999
185,Burger King,"476 E Austin St, Giddings, TX 78942, USA",30.1815476,-96.93364000000001
186,Starbucks,"2325 E Austin St, Giddings, TX 78942, USA",30.1795766,-96.9146559
187,Kirby's Korner,"606 N Hwy 123 Bypass, Seguin, TX 78155, USA",29.5737075,-97.9418857
188,Burger King,"550 South Highway 123 Bypass, Seguin, TX 78155, USA",29.5654495,-97.94491219999999
189,Burger King,"334 Singing Oaks, Spring Branch, TX 78070, USA",29.800588,-98.41955750000001
190,Starbucks,"109 Old Boerne Rd, Bulverde, TX 78163, USA",29.7971176,-98.4222348
191,Burger King,"680 Knight's Way, Harker Heights, TX 76548, USA",31.0588194,-97.6609995
192,Starbucks,"201 E Cte Bldg 3, Harker Heights, TX 76548, USA",31.071716,-97.67012
193,Burger King,"3809 E Stan Schlueter Loop, Killeen, TX 76542, USA",31.0718895,-97.7095137
194,Starbucks,"507 W Stan Schlueter Loop, Killeen, TX 76542, USA",31.0780949,-97.75614309999999
195,Wayback Burgers,"3404 W Stan Schlueter Loop, Killeen, TX 76549, USA",31.083376,-97.78734829999999
196,Plucker's Wing Bar,"3000 E Central Texas Expy, Killeen, TX 76543, USA",31.0868529,-97.7140486
197,Red Robin,"2800 E Central Texas Expy, Killeen, TX 76543, USA",31.0874937,-97.7152364
198,Starbucks,"200 I-35, Belton, TX 76513, USA",31.054602,-97.4538766
199,Burger King,"206 N Ih 35, Belton, TX 76513, USA",31.0536533,-97.45240629999999
200,Starbucks,"5701 Tri County Pkwy, Schertz, TX 78154, USA",29.5976659,-98.2827361
201,Starbucks,"2600 Trimmier Rd A, Killeen, TX 76542, USA",31.0916858,-97.7328861
202,Planted Foodie Truck,"1410 Waco Rd, Belton, TX 76513, USA",31.0677863,-97.44301589999999
203,Starbucks,"23808 Resort Pkwy, San Antonio, TX 78261, USA",29.6651627,-98.39955739999999
204,Starbucks,"917 FM3009 Suite B, Schertz, TX 78154, USA",29.5663211,-98.2584334
205,Burger King,"Bldg 50000, Clear Creek Rd, Fort Hood, TX 76544, USA",31.130393,-97.8008746
206,Starbucks,"1033 S Fort Hood St, Killeen, TX 76541, USA",31.111301,-97.747391
207,Starbucks,"2108 S Clear Creek Rd, Killeen, TX 76549, USA",31.1138061,-97.7987512
208,Burger King,"505 E Rancier Ave, Killeen, TX 76541, USA",31.12528039999999,-97.72280909999999
209,Starbucks,"2524 E Hwy 190, Copperas Cove, TX 76522, USA",31.0931106,-97.9549783
210,Burger King,"16711 Nacogdoches Rd, San Antonio, TX 78266, USA",29.5928089,-98.3507944
211,Starbucks,"1313 SW H K Dodgen Loop, Temple, TX 76502, USA",31.0726744,-97.3695719
212,Burger King,"1001 East Highway 190, Copperas Cove, TX 76522, USA",31.100325,-97.9237083
213,Starbucks,"Santa Fe Ave Bldg 36065, ABC, Fort Hood, TX 76544, USA",31.1268636,-97.77616580000002
214,Starbucks,"Tank Destroyer Blvd &, Clear Creek Rd, Killeen, TX 76544, USA",31.1353889,-97.8127793
215,Plucker's Wing Bar,"14881 I-35 N, Selma, TX 78154, USA",29.5746534,-98.3259159
216,Starbucks,"8250 Agora Pkwy, Selma, TX 78154, USA",29.5702361,-98.3268535
217,Starbucks,"8234 Agora Pkwy, Selma, TX 78154, USA",29.5682835,-98.327153
218,Red Robin,"8227 Agora Pkwy, Selma, TX 78154, USA",29.5699849,-98.3294205
219,Starbucks,"118 761st Tank Battalion Ave, Fort Hood, TX 76544, USA",31.1374484,-97.76503989999999
220,Qdoba Mexican Eats,"761st Tank Battalion Ave Bldg 118, Fort Hood, TX 76544, USA",31.1373726,-97.7649679
221,Burger King,"761st Tank Battalion Ave Bldg 118, Fort Hood, TX 76544, USA",31.1373726,-97.7649679
222,Starbucks,"22832 U.S. Hwy 281 N, San Antonio, TX 78258, USA",29.6534531,-98.44479539999999
223,Starbucks,"630 3rd St W Bldg 1068, Randolph AFB, TX 78150, USA",29.5387821,-98.2879073
224,Starbucks,"22606 US-281 North, San Antonio, TX 78258, USA",29.6511876,-98.4480061
225,Burger King,"33012 Battalion Ave, Fort Hood, TX 76544, USA",31.1421185,-97.7891744
226,Burger King,"321 3rd St W Building 1038, Universal City, TX 78148, USA",29.5378613,-98.2890609
227,Burger King,"8131 Pat Booker Rd, Live Oak, TX 78233, USA",29.562387,-98.32974139999999
228,Starbucks,"8151 Pat Booker Rd, Live Oak, TX 78233, USA",29.5619194,-98.32913169999999
229,Dog Haus,"20907 Stone Oak Pkwy, San Antonio, TX 78258, USA",29.6499409,-98.4523986
230,Starbucks,"6607 W Adams Ave Suite A, Temple, TX 76502, USA",31.1157873,-97.4123237
231,Burger King,"6934 W Adams Ave, Temple, TX 76502, USA",31.1178862,-97.4156816
232,Starbucks,"3830 N Loop 1604 E  San Antonio, TX 78247, USA",29.599878,-98.418663
233,Starbucks,"20138 Stone Oak Pkwy, San Antonio, TX 78258, USA",29.6427265,-98.481224
234,Burger King,"822 Evans Rd, San Antonio, TX 78258, USA",29.6420708,-98.4812884
235,Wayback Burgers,"1723 N Loop 1604 E, San Antonio, TX 78232, USA",29.6104092,-98.4658228
236,Starbucks,"1723 N Loop 1604 E  San Antonio, TX 78232, USA",29.6104092,-98.4658228
237,Red Robin,"1750 N Loop 1604 E Ste 102, San Antonio, TX 78232, USA",29.6071641,-98.46372439999999
238,Starbucks,"18130 U.S. Highway 281 North, Suite 108, San Antonio, TX 78232, USA",29.6208447,-98.4644945
239,The Longhorn Cafe,"12311 Nacogdoches Rd, San Antonio, TX 78217, USA",29.5530443,-98.4054443
240,Starbucks,"8350 FM78, Converse, TX 78109, USA",29.4969698,-98.3220406
241,Project Pollo,"18730 Tuscany Stone Suite 2103, San Antonio, TX 78258, USA",29.6123192,-98.4925215
242,Starbucks,"18738 Tuscany Stone, San Antonio, TX 78258, USA",29.6122257,-98.4929288
243,Starbucks,"5314 Thousand Oaks Dr, San Antonio, TX 78284, USA",29.534751,-98.39356049999999
244,El Taco Grill,"19211 Huebner Rd  San Antonio, TX 78258, USA",29.622472,-98.5125266
245,Starbucks,"16101 San Pedro Ave, San Antonio, TX 78232, USA",29.5882575,-98.47520089999999
246,Burger King,"4405 N General Bruce Dr, Temple, TX 76501, USA",31.1406735,-97.3280039
247,Starbucks,"18255 Blanco Rd, San Antonio, TX 78258, USA",29.6119445,-98.5107831
248,Starbucks,"18154 Blanco Rd, San Antonio, TX 78232, USA",29.6078335,-98.50778749999999
249,The Longhorn Cafe,"17625 Blanco Rd, San Antonio, TX 78232, USA",29.6025757,-98.5084737
